,movieId,timestamp,zeroEtoile,uneEtoile,deuxEtoile,toisEtoile,quatreEtoile,cingEtoile
0,73268,2009,,,,1.0,,
1,73268,2010,7.0,5.0,99.0,94.0,188.0,5.0
2,73319,2010,5.0,4.0,38.0,33.0,59.0,6.0
3,73321,2010,8.0,11.0,116.0,117.0,414.0,32.0
4,73744,2010,,,2.0,1.0,1.0,
5,73929,2010,12.0,22.0,78.0,38.0,52.0,3.0
6,74115,2010,2.0,2.0,6.0,7.0,8.0,2.0
7,74131,2010,,2.0,11.0,11.0,19.0,3.0
8,74154,2010,4.0,7.0,40.0,29.0,28.0,3.0
9,74156,2010,1.0,,54.0,72.0,106.0,6.0
10,74324,2010,,2.0,7.0,4.0,91.0,17.0
11,74450,2010,5.0,6.0,57.0,55.0,93.0,7.0
12,74452,2010,9.0,10.0,108.0,45.0,56.0,2.0
13,74458,2010,9.0,10.0,132.0,181.0,1243.0,183.0
14,74530,2010,6.0,3.0,71.0,53.0,74.0,5.0
15,74532,2010,2.0,8.0,68.0,40.0,49.0,4.0
16,74545,2010,3.0,3.0,39.0,70.0,402.0,19.0
17,74580,2010,2.0,3.0,28.0,9.0,11.0,
18,74595,2010,,,,1.0,,
19,74675,2010,1.0,,,1.0,,
20,74679,2010,,1.0,,1.0,,
21,74685,2010,8.0,4.0,57.0,66.0,158.0,11.0
22,74688,2010,5.0,3.0,35.0,24.0,47.0,4.0
23,74698,2010,9.0,10.0,31.0,7.0,14.0,
24,74787,2010,2.0,2.0,4.0,4.0,11.0,1.0
25,74789,2010,15.0,27.0,273.0,287.0,772.0,73.0
26,74795,2010,5.0,4.0,55.0,80.0,275.0,11.0
27,74851,2010,5.0,4.0,49.0,54.0,98.0,6.0
28,74916,2010,2.0,2.0,37.0,31.0,83.0,2.0
29,74944,2010,5.0,2.0,33.0,31.0,59.0,3.0
30,74946,2010,2.0,4.0,36.0,56.0,127.0,5.0
31,75341,2010,5.0,1.0,15.0,17.0,63.0,10.0
32,75395,2010,,1.0,18.0,11.0,27.0,
33,75438,2010,2.0,2.0,7.0,3.0,4.0,
34,75803,2010,1.0,,3.0,1.0,2.0,
35,75805,2010,8.0,7.0,76.0,43.0,65.0,7.0
36,75985,2010,3.0,3.0,43.0,58.0,102.0,3.0
37,76077,2010,9.0,12.0,125.0,126.0,281.0,17.0
38,76093,2010,7.0,,29.0,85.0,715.0,179.0
39,76175,2010,21.0,16.0,170.0,89.0,145.0,7.0
40,76217,2010,,,1.0,,,
41,76251,2010,5.0,6.0,108.0,164.0,1109.0,186.0
42,76293,2010,2.0,5.0,84.0,97.0,185.0,8.0
43,76738,2010,1.0,1.0,,,22.0,8.0
44,76753,2010,1.0,1.0,3.0,3.0,6.0,
45,76755,2010,2.0,,12.0,6.0,15.0,1.0
46,76763,2010,,1.0,16.0,25.0,50.0,6.0
47,77191,2010,4.0,6.0,18.0,20.0,36.0,1.0
48,77206,2010,1.0,,15.0,10.0,15.0,
49,77300,2010,,,1.0,1.0,1.0,
50,77349,2010,,,4.0,,,
51,77364,2010,4.0,3.0,40.0,40.0,84.0,6.0
52,77414,2010,3.0,4.0,7.0,5.0,12.0,1.0
53,77421,2010,,2.0,14.0,17.0,51.0,2.0
54,77455,2010,1.0,2.0,8.0,17.0,138.0,29.0
55,77561,2010,11.0,8.0,166.0,242.0,773.0,68.0
56,77629,2010,3.0,,4.0,10.0,44.0,3.0
57,77665,2010,1.0,3.0,12.0,2.0,1.0,
58,77667,2010,5.0,9.0,29.0,25.0,23.0,
59,77672,2010,1.0,,,4.0,7.0,
60,77798,2010,5.0,4.0,43.0,24.0,23.0,1.0
61,77800,2010,3.0,,12.0,15.0,99.0,9.0
62,77818,2010,,,,1.0,6.0,
63,77820,2010,3.0,1.0,7.0,1.0,3.0,
64,77833,2010,,,,,7.0,
65,77837,2010,2.0,,4.0,15.0,73.0,2.0
66,77866,2010,3.0,8.0,92.0,99.0,217.0,14.0
67,78022,2010,,,2.0,,6.0,
68,78034,2010,1.0,,9.0,16.0,41.0,3.0
69,78039,2010,,,2.0,,,
70,78041,2010,,4.0,51.0,18.0,47.0,4.0
71,78088,2010,1.0,1.0,10.0,18.0,50.0,3.0
72,78105,2010,7.0,6.0,96.0,84.0,217.0,13.0
73,78116,2010,1.0,,9.0,11.0,43.0,1.0
74,78128,2010,,,,,1.0,
75,78174,2010,14.0,20.0,62.0,22.0,49.0,3.0
76,78209,2010,9.0,4.0,58.0,72.0,210.0,11.0
77,78218,2010,,2.0,28.0,28.0,143.0,11.0
78,78247,2010,3.0,,1.0,4.0,4.0,1.0
79,78251,2010,,,2.0,3.0,4.0,
80,78264,2010,5.0,3.0,29.0,18.0,19.0,1.0
81,78290,2010,,,1.0,,,1.0
82,78316,2010,1.0,5.0,13.0,30.0,51.0,7.0
83,78321,2010,16.0,4.0,7.0,7.0,12.0,1.0
84,78410,2010,,,2.0,,,
85,78467,2010,3.0,6.0,35.0,10.0,6.0,
86,78469,2010,4.0,3.0,82.0,72.0,252.0,22.0
87,78499,2010,8.0,5.0,45.0,103.0,887.0,344.0
88,78517,2010,,1.0,3.0,1.0,17.0,1.0
89,78574,2010,2.0,1.0,12.0,25.0,151.0,14.0
90,78633,2010,,,2.0,2.0,2.0,1.0
91,78637,2010,4.0,5.0,30.0,48.0,105.0,6.0
92,78679,2010,2.0,1.0,19.0,16.0,39.0,2.0
93,78759,2010,1.0,,1.0,7.0,8.0,2.0
94,78772,2010,22.0,9.0,64.0,38.0,86.0,16.0
95,78893,2010,17.0,16.0,78.0,24.0,44.0,3.0
96,78974,2010,1.0,,1.0,,2.0,
97,78976,2010,,,1.0,2.0,4.0,
98,79057,2010,6.0,5.0,69.0,75.0,149.0,7.0
