,movieId,title,genres,year
22582,107209,"Outsider, The (2014)",Action|Crime|Drama,2014
22670,107516,Punk's Dead: SLC Punk! 2 (2014),Comedy,2014
22762,107769,Paranormal Activity: The Marked Ones (2014),Horror|Thriller,2014
22802,107916,Yves Saint Laurent (2014),Drama|Romance,2014
22814,107962,Freezer (2014),Action|Thriller,2014
22875,108156,Ride Along (2014),Action|Comedy,2014
22880,108188,Jack Ryan: Shadow Recruit (2014),Action|Drama|Thriller|IMAX,2014
22881,108190,Divergent (2014),Adventure|Romance|Sci-Fi|IMAX,2014
22885,108200,Reasonable Doubt (2014),Crime|Thriller,2014
22890,108212,Saint Laurent (2014),Drama|Romance,2014
22898,108243,Devil's Due (2014),Horror,2014
22899,108246,Nicht mein Tag (2014),Action|Comedy|Crime,2014
22956,108501,Justice League: War (2014),Action|Adventure|Animation|Fantasy|Sci-Fi,2014
22982,108571,Mitt (2014),Documentary,2014
23013,108689,"I, Frankenstein (2014)",Action|Fantasy|Sci-Fi|IMAX,2014
23023,108715,Better Living Through Chemistry (2014),Comedy|Drama,2014
23049,108797,Flowers in the Attic (2014),Drama|Mystery|Thriller,2014
23090,108928,"Monuments Men, The (2014)",Action|Drama|War,2014
23092,108932,The Lego Movie (2014),Action|Adventure|Animation|Children|Comedy|Fantasy,2014
23098,108945,RoboCop (2014),Action|Crime|Sci-Fi|IMAX,2014
23140,109072,Sabotage (2014),Action|Crime|Drama,2014
23142,109076,Hallåhallå (2014),Comedy,2014
23155,109157,"Long Way Down, A (2014)",Comedy|Drama,2014
23156,109159,"Three Brothers 2, The (Les trois frères, le retour) (2014)",Comedy,2014
23163,109183,Date and Switch (2014),Comedy,2014
23166,109189,Endless Love (2014),Drama|Romance,2014
23167,109191,Winter's Tale (2014),Drama|Fantasy|Mystery,2014
23205,109317,Someone Marry Barry (2014),Comedy,2014
23222,109372,About Last Night (2014),Comedy|Romance,2014
23223,109374,"Grand Budapest Hotel, The (2014)",Comedy|Drama,2014
23224,109376,Cuban Fury (2014),Comedy,2014
23230,109390,"Black Coal, Thin Ice (Bai ri yan huo) (2014)",Crime|Drama|Mystery|Thriller,2014
23231,109392,Blind Massage (Tui na) (2014),Drama,2014
23232,109397,Jamesy Boy (2014),Crime|Drama,2014
23233,109399,Jailbait (2014),Crime|Drama|Thriller,2014
23251,109461,Supercondriaque (2014),Comedy,2014
23253,109468,Prêt à tout (2014),Comedy,2014
23260,109483,That Awkward Moment (2014),Comedy|Romance,2014
23262,109487,Interstellar (2014),Sci-Fi|IMAX,2014
23272,109526,"Gabby Douglas Story, The (2014)",Drama,2014
23282,109569,3 Days to Kill (2014),Action|Crime|Drama,2014
